
instanciazhang	130	15	0	2.186	130	0.338462	2462	31325	7.971	SPT	155	0.01	LPT	155	0.009
instanciazhang	150	15	0	0.141	150	0	2748	37829	1.656	SPT	184	0.006	LPT	184	0.007
instanciazhang	627	97	0	0.076
instanciazhang	409	99	0	0.065	409	0	4430	53369	0.939	SPT	469	0.002	LPT	502	0.003
instanciazhang	409	99	0	0.04	409	0	7482	102970	1.363	SPT	593	0.002	LPT	550	0.002
instanciazhang	409	99	0	0.047	409	0	2928	35826	0.747	SPT	471	0.002	LPT	558	0.003
instanciazhang	289	97	0	0.047	289	0	6284	55496	1.622	SPT	372	0.002	LPT	376	0.002
instanciazhang	289	97	0	0.049	289	0	4315	38088	0.931	SPT	393	0.002	LPT	376	0.003
instanciazhang	1000	516	0	0.052	1063	0	2446	27386	0.707	SPT	1637	0.002	LPT	1380	0.002
instanciazhang	1000	516	0	0.067	1023	0	4493	80850	1.992	SPT	1876	0.002	LPT	1332	0.002
instanciazhang	1000	516	0	0.051	1000	0	5117	43635	2.866	SPT	1046	0.002	LPT	1044	0.002
instanciazhang	1000	516	0	0.048	1046	0	2057	24257	0.726	SPT	1511	0.002	LPT	1249	0.003
instanciazhang	1000	516	0	0.047	1000	0	2823	30841	1.729	SPT	1000	0.003	LPT	1000	0.003
instanciazhang	1267	379	0	0.053	1267	0	147	579	0.353	SPT	1342	0.001	LPT	1342	0
instanciazhang	1000	379	0	0.05	1000	0	373	1355	0.329	SPT	1000	0.001	LPT	1000	0.001
instanciazhang	1108	99	0	0.436
instanciazhang	196	95	0	0.044	196	0	0	393	0.205	SPT	279	0.001	LPT	251	0.001
instanciazhang	1000	511	0	0.037	1127	0	0	79	0.107	SPT	1436	0.001	LPT	1489	0
instanciazhang	1000	831	0	0.036	1084	0	0	89	0.098	SPT	1084	0	LPT	1084	0
instanciazhang	1000	575	0	0.048	1131	0	0	79	0.141	SPT	1205	0.001	LPT	1171	0.001
instanciazhang	988	575	0	0.078	988	0	0	96	0.171	SPT	988	0.001	LPT	988	0.001
instanciazhang	1630	575	0	0.046	1630	0	2550	7811	0.573	SPT	1849	0.001	LPT	1821	0.001
instanciazhang	1000	661	0	0.038	1168	0	0	90	0.103	SPT	1657	0	LPT	1673	0.001
instanciazhang	1000	688	0	0.039	1247	0	389	3785	0.321	SPT	1693	0.002	LPT	1700	0.003
instanciazhang	1000	688	0	0.055	1247	0	389	3785	0.331	SPT	1693	0.002	LPT	1700	0.003
instanciazhang	1000	464	0	1.692	1019	0	300	2167	1.92	SPT	1281	0.001	LPT	1267	0.002
instanciazhang	98	47	0	0.04	102	0	234	2369	0.285	SPT	128.1	0.001	LPT	126.7	0.001
